filename,achene,dairy,egg,fleshy fruit,fungi,game meat,gastropod,grain/grass,honey,insect,invertebrate,legume,meat,mineral,nut,poultry,reptile,sap,seafood,seaweed,seed,vegetable/herb
4050203371.mzXML,0,1311,243,4759,125,0,0,1328,54,117,130,676,3047,0,0,311,93,0,2369,71,59,2086
4050203468.mzXML,0,1108,96,3079,81,0,0,638,49,57,60,322,1192,0,0,123,0,0,809,0,0,1260
4050203480.mzXML,0,1111,103,3276,103,0,0,773,48,61,56,385,1388,0,0,134,44,0,927,36,32,1478
4050203492.mzXML,0,1466,192,3608,116,33,0,1108,46,94,104,536,2542,0,0,237,74,0,1918,54,48,1499
4050202698.mzXML,0,1569,244,5092,157,0,0,1519,60,116,137,775,2909,0,0,309,95,0,2194,71,67,2573
4050202807.mzXML,0,1536,212,4545,132,0,0,1324,56,112,121,740,2481,0,0,253,78,0,1723,56,64,2252
4050202819.mzXML,0,1118,147,3156,97,0,0,891,54,69,76,484,1695,0,0,165,59,0,1283,40,38,1555
4050202831.mzXML,0,1031,98,3278,79,0,0,788,52,58,63,357,1197,0,0,125,43,0,924,0,0,1484
4050202843.mzXML,0,1580,224,4154,110,0,0,1098,60,90,108,550,2594,0,0,270,85,0,2024,64,0,1910
4050203394.mzXML,0,1190,131,3526,85,0,0,837,48,69,63,360,1733,0,0,188,50,0,1298,53,0,1404
4050203406.mzXML,0,1466,260,5145,135,0,0,1402,62,115,129,648,3138,0,0,301,91,0,2237,77,59,2135
4050203418.mzXML,0,1370,174,3889,105,0,0,922,53,71,80,404,1906,0,0,204,66,0,1441,51,0,1834
4050202855.mzXML,32,1567,336,5540,157,42,32,1868,47,150,156,900,3766,25,0,387,121,28,2753,76,85,2444
4050202867.mzXML,0,1020,102,3034,80,0,0,721,46,61,66,396,1200,0,0,113,50,0,906,32,34,1272
4050202687.mzXML,0,743,70,2632,57,0,0,512,0,0,0,212,743,0,0,86,0,0,598,0,0,1374
4050201834.mzXML,0,1440,149,4221,113,0,0,1081,64,75,85,461,2112,0,0,197,57,0,1484,60,40,1788
4050201846.mzXML,0,1227,179,3839,113,0,0,1187,44,91,92,544,2040,29,0,216,63,0,1611,55,51,1800
4050201955.mzXML,0,1180,189,3537,94,0,0,936,53,82,83,404,2123,0,0,231,68,0,1607,54,0,1902
4050201967.mzXML,0,1449,208,4636,124,0,0,1331,60,104,102,644,2619,0,0,277,73,0,1855,70,64,2121
4050201979.mzXML,0,1197,187,3319,106,0,0,978,52,77,84,486,2273,0,0,236,74,0,1719,50,47,1531
4050201991.mzXML,0,1368,263,5325,137,0,0,1551,60,121,144,860,3048,0,0,326,98,0,2414,70,74,2403
4050202003.mzXML,0,1442,216,4239,115,0,0,1252,55,101,108,629,2656,0,0,273,84,0,1969,60,53,1931
4050201823.mzXML,0,1324,170,4173,99,0,0,1029,53,85,99,463,2215,0,0,242,56,0,1662,65,0,1752
