from,to,weight,pval,padj,direction,padj_sig,Group,Cohort
onion,CRP.value,0.07660939154841964,0.17082917082917082,0.22935397935397933,pos,NS,CD,IBD_200
orange,CRP.value,0.05927863259100097,0.17482517482517482,0.23213965521657828,pos,NS,CD,IBD_200
oregano,CRP.value,0.0821109618040893,0.15984015984015984,0.2273572292369285,pos,NS,CD,IBD_200
parsley,CRP.value,0.09036706294363141,0.1028971028971029,0.20150453221319364,pos,NS,CD,IBD_200
passionfruit,CRP.value,0.08833690558988783,0.11588411588411589,0.21162716376822172,pos,NS,CD,IBD_200
pea,CRP.value,0.08759891377801934,0.12487512487512488,0.22125845514866996,pos,NS,CD,IBD_200
peach,CRP.value,0.0768823114759881,0.11488511488511488,0.2108650842828058,pos,NS,CD,IBD_200
peanut,CRP.value,0.09461581171587391,0.13986013986013987,0.22333127258180793,pos,NS,CD,IBD_200
pear,CRP.value,0.08502233124143971,0.16583416583416583,0.2273572292369285,pos,NS,CD,IBD_200
pecan,CRP.value,0.05582874485930403,0.07092907092907093,0.16821887789629728,pos,NS,CD,IBD_200
pepper,CRP.value,0.03107561643697585,0.22877122877122877,0.2746012265879816,pos,NS,CD,IBD_200
pig,CRP.value,0.08984060899785158,0.14185814185814186,0.22333127258180793,pos,NS,CD,IBD_200
pine nut,CRP.value,0.09672995441915318,0.12987012987012986,0.22311811411337476,pos,NS,CD,IBD_200
pineapple,CRP.value,0.05267667147984634,0.07692307692307693,0.17373592139947283,pos,NS,CD,IBD_200
plantain,CRP.value,0.05920097549982071,0.08891108891108891,0.1847006861333509,pos,NS,CD,IBD_200
pomelo,CRP.value,0.04889184990038474,0.12787212787212787,0.22125845514866996,pos,NS,CD,IBD_200
poppy seed,CRP.value,0.056665360880745315,0.06793206793206794,0.16821887789629728,pos,NS,CD,IBD_200
potato,CRP.value,0.013541833696627497,0.16083916083916083,0.2273572292369285,pos,NS,CD,IBD_200
quinoa,CRP.value,0.09398241715001626,0.14985014985014986,0.22633616383616387,pos,NS,CD,IBD_200
rabbit,CRP.value,0.05582874485930403,0.07092907092907093,0.16821887789629728,pos,NS,CD,IBD_200
radish,CRP.value,0.044375803298557136,0.08491508491508491,0.1816030577092524,pos,NS,CD,IBD_200
raspberry,CRP.value,0.09526667282436031,0.14685314685314685,0.22414427677585572,pos,NS,CD,IBD_200
rice,CRP.value,0.04073146346149746,0.19880119880119881,0.25375153015998086,pos,NS,CD,IBD_200
rosemary,CRP.value,0.07216217069109195,0.15984015984015984,0.2273572292369285,pos,NS,CD,IBD_200
sage,CRP.value,0.04050586798349694,0.11188811188811189,0.20746516910199775,pos,NS,CD,IBD_200
